geoid,name,state,lat,lon
13183,Long County,GA,31.7496,-81.7429
13185,Lowndes County,GA,30.8331,-83.269
13187,Lumpkin County,GA,34.5681,-83.9989
13189,McDuffie County,GA,33.4806,-82.4795
13191,McIntosh County,GA,31.4856,-81.3721
13193,Macon County,GA,32.3627,-84.0512
13195,Madison County,GA,34.1275,-83.2087
13197,Marion County,GA,32.3593,-84.5287
13199,Meriwether County,GA,33.0293,-84.6671
13201,Miller County,GA,31.1629,-84.7304
13205,Mitchell County,GA,31.229,-84.192
13207,Monroe County,GA,33.0188,-83.9218
13209,Montgomery County,GA,32.1721,-82.5333
13211,Morgan County,GA,33.5987,-83.4994
13213,Murray County,GA,34.7971,-84.738
13215,Muscogee County,GA,32.5102,-84.8749
13217,Newton County,GA,33.5528,-83.8514
13219,Oconee County,GA,33.8341,-83.4377
13221,Oglethorpe County,GA,33.8668,-83.0741
13223,Paulding County,GA,33.921,-84.8672
13225,Peach County,GA,32.5713,-83.832
13227,Pickens County,GA,34.4567,-84.4904
13229,Pierce County,GA,31.354,-82.2104
13231,Pike County,GA,33.0811,-84.3895
13233,Polk County,GA,33.996,-85.1883
13235,Pulaski County,GA,32.2388,-83.4818
13237,Putnam County,GA,33.3211,-83.3718
13239,Quitman County,GA,31.8629,-85.0048
13241,Rabun County,GA,34.8839,-83.4049
13243,Randolph County,GA,31.7627,-84.7523
13245,Richmond County,GA,33.3615,-82.075
13247,Rockdale County,GA,33.6521,-84.0264
13249,Schley County,GA,32.2634,-84.3227
13251,Screven County,GA,32.7448,-81.6176
13253,Seminole County,GA,30.934,-84.8677
13255,Spalding County,GA,33.2623,-84.2849
13257,Stephens County,GA,34.5536,-83.2906
13259,Stewart County,GA,32.0732,-84.8349
13261,Sumter County,GA,32.0423,-84.2043
13263,Talbot County,GA,32.7046,-84.53
13265,Taliaferro County,GA,33.5593,-82.8753
13267,Tattnall County,GA,32.0438,-82.0592
13269,Taylor County,GA,32.5547,-84.2514
13271,Telfair County,GA,31.9136,-82.9311
